episode,episode_length,episode_reward,learning_rate
0,10,1.0,0.0003
1,25,-1.0,0.0003
2,8,1.0,0.0003
3,18,1.0,0.0003
4,10,1.0,0.0003
5,20,1.0,0.0003
6,7,1.0,0.0003
7,25,-1.0,0.0003
8,7,1.0,0.0003
9,19,1.0,0.0003
10,18,1.0,0.0003
11,21,1.0,0.0003
12,11,1.0,0.0003
13,22,1.0,0.0003
14,8,1.0,0.0003
15,24,-1.0,0.0003
16,9,1.0,0.0003
17,24,1.0,0.0003
18,11,1.0,0.0003
19,23,1.0,0.0003
20,7,1.0,0.0003
21,24,1.0,0.0003
22,7,1.0,0.0003
23,20,-1.0,0.0003
24,21,-1.0,0.0003
25,22,1.0,0.0003
26,9,1.0,0.0003
27,18,1.0,0.0003
28,9,1.0,0.0003
29,25,-1.0,0.0003
30,7,1.0,0.0003
31,23,1.0,0.0003
32,8,1.0,0.0003
33,21,1.0,0.0003
34,11,1.0,0.0003
35,24,1.0,0.0003
36,10,1.0,0.0003
37,22,1.0,0.0003
38,10,1.0,0.0003
39,24,1.0,0.0003
40,21,-1.0,0.0003
41,24,1.0,0.0003
42,10,1.0,0.0003
43,20,1.0,0.0003
44,10,1.0,0.0003
45,19,1.0,0.0003
46,7,1.0,0.0003
47,20,1.0,0.0003
48,9,1.0,0.0003
49,25,-1.0,0.0003
50,8,1.0,0.0003
51,24,1.0,0.0003
52,9,1.0,0.0003
53,13,1.0,0.0003
54,8,1.0,0.0003
55,23,1.0,0.0003
56,10,1.0,0.0003
57,24,1.0,0.0003
58,8,1.0,0.0003
59,23,1.0,0.0003
60,14,1.0,0.0003
61,21,1.0,0.0003
62,9,1.0,0.0003
63,25,-1.0,0.0003
64,10,1.0,0.0003
65,23,1.0,0.0003
66,9,1.0,0.0003
67,18,1.0,0.0003
68,11,1.0,0.0003
69,25,-1.0,0.0003
70,7,1.0,0.0003
71,22,1.0,0.0003
72,9,1.0,0.0003
73,24,1.0,0.0003
74,10,1.0,0.0003
75,20,1.0,0.0003
76,8,1.0,0.0003
77,21,1.0,0.0003
78,10,1.0,0.0003
79,24,1.0,0.0003
80,7,1.0,0.0003
81,23,1.0,0.0003
82,8,1.0,0.0003
83,24,1.0,0.0003
84,12,1.0,0.0003
85,21,1.0,0.0003
86,10,-1.0,0.0003
87,22,1.0,0.0003
88,11,1.0,0.0003
89,22,1.0,0.0003
90,9,1.0,0.0003
91,24,-1.0,0.0003
92,9,1.0,0.0003
93,20,1.0,0.0003
94,7,1.0,0.0003
95,24,-1.0,0.0003
96,16,1.0,0.0003
97,19,1.0,0.0003
98,8,1.0,0.0003
99,24,1.0,0.0003
100,9,1.0,0.0003
101,22,1.0,0.0003
102,8,1.0,0.0003
103,21,1.0,0.0003
104,10,1.0,0.0003
105,23,1.0,0.0003
106,14,1.0,0.0003
107,20,1.0,0.0003
108,10,1.0,0.0003
109,25,-1.0,0.0003
110,15,1.0,0.0003
111,24,1.0,0.0003
112,21,-1.0,0.0003
113,21,1.0,0.0003
114,9,1.0,0.0003
115,18,1.0,0.0003
116,9,1.0,0.0003
117,24,1.0,0.0003
118,11,1.0,0.0003
119,20,1.0,0.0003
120,13,1.0,0.0003
121,19,1.0,0.0003
122,13,1.0,0.0003
123,25,-1.0,0.0003
124,8,1.0,0.0003
125,19,1.0,0.0003
126,11,1.0,0.0003
127,24,1.0,0.0003
128,7,1.0,0.0003
129,24,1.0,0.0003
130,10,1.0,0.0003
131,23,-1.0,0.0003
132,7,1.0,0.0003
